a,une
abandon,abandonner
abandoned,abandonné
ability,aptitude
able,capable
about,à propos
above,au dessus
abroad,à l'étranger
absence,absence
absent,absent
absolute,absolu
absolutely,absolument
absorb,absorber
abuse,abuser de
academic,académique
accent,accent
accept,J'accepte
acceptable,acceptable
access,accès
accident,accident
accidental,accidentel
accidentally,accidentellement
accommodation,hébergement
accompany,accompagner
according to,selon
account,Compte
account for,compte pour
accurate,précis
accurately,avec précision
accuse,accuser
achieve,atteindre
achievement,réussite
acid,acide
acknowledge,reconnaître
a couple,un couple
acquire,acquérir
across,à travers
act,acte
action,action
active,actif
actively,activement
activity,activité
actor,acteur
actress,actrice
actual,réel
actually,réellement
ad,un d
adapt,adapter
add,ajouter
addition,une addition
additional,Additionnel
add on,Ajouter
address,adresse
add up,additionner
add up to,ajouter à
adequate,adéquat
adequately,de manière adéquate
adjust,régler
admiration,admiration
admire,admirer
admit,admettre
adopt,adopter
adult,adulte
advance,avance
advanced,Avancée
advantage,avantage
adventure,aventure
advert,publicité
advertise,afficher
advertisement,publicité
advertising,La publicité
advice,Conseil
advise,conseiller
affair,affaire
affect,affecter
affection,affection
afford,offrir
afraid,peur
after,après
afternoon,après midi
afterwards,ensuite
again,encore
against,contre
age,âge
aged,vieilli
agency,agence
agent,agent
aggressive,agressif
ago,depuis
agree,se mettre d'accord
agreement,accord
ahead,devant
aid,aide
aim,objectif
air,air
aircraft,avion
airport,aéroport
alarm,alarme
alarmed,alarmée
alarming,alarmant
alcohol,de l'alcool
alcoholic,alcoolique
alive,vivant
all,tout
allied,allié
allow,Autoriser
allow for,autoriser pour
all right,d'accord
ally,allié
almost,presque
alone,seul
along,le long de
alongside,aux côtés de
aloud,à haute voix
alphabet,alphabet
alphabetical,alphabétique
alphabetically,alphabétiquement
already,déjà
also,aussi
alter,modifier
alternative,alternative
alternatively,sinon
although,bien que
altogether,tout à fait
always,toujours
a.m.,un m.
amaze,étonner
amazed,étonné
amazing,incroyable
ambition,ambition
ambulance,ambulance
among,parmi
amount,montant
amount to,s'élever à
amuse,amuser
amused,amusé
amusing,amusant
analyse,analyser
analysis,une analyse
ancient,ancien
and,et
anger,colère
angle,angle
angrily,avec colère
angry,en colère
animal,animal
ankle,cheville
anniversary,anniversaire
announce,annoncer
annoy,ennuyer
annoyed,agacé
annoying,énervant
annual,annuel
annually,annuellement
another,un autre
answer,répondre
anti\\-,anti\\-
anticipate,anticiper
anxiety,anxiété
anxious,anxieux
anxiously,anxieusement
any,tout
anybody,n'importe qui
anyone,n'importe qui
anything,n'importe quoi
anyway,en tous cas
anywhere,nulle part
apart,une part
apart from,Excepté
apartment,appartement
apologize,s'excuser
apparent,apparent
apparently,Apparemment
appeal,charme
appear,apparaître
appearance,apparence
apple,Pomme
application,application
apply,appliquer
appoint,nommer
appointment,rendez\\-vous
appreciate,apprécier
approach,approche
appropriate,approprié
approval,approbation
approve,approuver
approving,approuvant
approximate,approximatif
approximately,approximativement
April,avril
area,zone
argue,se disputer
argument,argument
arise,survenir
arm,bras
armed,armé
arms,bras
army,armée
around,autour
arrange,organiser
arrangement,arrangement
arrest,arrêter
arrival,arrivée
arrive,arrivée
arrive at,arriver à
arrow,La Flèche
art,art
article,article
artificial,artificiel
artificially,artificiellement
artist,artiste
artistic,artistique
artistically,artistique
as,comme
ashamed,honteux
aside,de côté
aside from,à part
ask,demander
asleep,endormi
aspect,aspect
assist,aider
assistance,assistance
assistant,assistant
associate,associer
associated,associé
association,association
assume,présumer
assure,assurer
at,à
atmosphere,atmosphère
atom,atome
attach,attacher
attached,attaché
attack,attaque
attempt,tentative
attempted,tentative
attend,assister
attend to,Occupez\\-vous
attention,attention
attitude,attitude
attorney,avocat
attract,attirer
attraction,attraction
attractive,attrayant
audience,public
August,août
aunt,tante
author,auteur
authority,autorité
automatic,automatique
automatically,automatiquement
autumn,l'automne
available,disponible
average,moyenne
avoid,éviter
awake,éveillé
award,prix
aware,conscient
away,une façon
awful,terrible
awfully,terriblement
awkward,gênant
awkwardly,maladroitement
baby,bébé
back,arrière
background,Contexte
back up,sauvegarder
backward,rétrograde
backwards,en arrière
bacteria,bactéries
bad,mauvais
badly,mal
bad\\-tempered,mauvaise humeur
bag,sac
baggage,bagages
bake,cuire
balance,équilibre
ball,Balle
ban,interdire
band,bande
bandage,bandage
bank,banque
bar,bar
bargain,bonne affaire
barrier,barrière
base,base
based,basé
base on,baser sur
basic,de base
basically,fondamentalement
basis,base
bath,une baignoire
bathroom,salle de bains
battery,batterie
battle,bataille
bay,baie
be,être
beach,plage
beak,le bec
bear,ours
beard,barbe
beat,battre
beat up,tabasser
beautiful,belle
beautifully,magnifiquement
beauty,beauté
because,car
because of,en raison de
become,devenir
bed,lit
bedroom,chambre
beef,du boeuf
beer,Bière
before,avant
begin,commencer
beginning,début
behalf,nom
behave,se comporter
behaviour,comportement
behind,derrière
be left over,être laissé de côté
belief,croyance
believe,croyez
believe in,croire en
bell,cloche
belong,appartenir
belong to,appartenir à
below,au dessous de
belt,ceinture
bend,pliez
beneath,sous
benefit,avantage
bent,courbé
beside,à côté de
best,meilleur
bet,pari
better,mieux
betting,pari
between,entre
beyond,au\\-delà
bicycle,vélo
bid 1,1 offre
big,gros
bike,bicyclette
bill,facture
billion,milliard
bin,poubelle
biology,la biologie
bird,oiseau
birth,naissance
birthday,anniversaire
biscuit,biscuit
bit,bit
bite,mordre
bitter,amer
bitterly,amèrement
black,noir
blade,lame
blame,faire des reproches
blank,Vide
blind,aveugle
block,bloquer
blonde,blond
blood,du sang
blow,coup
blow out,éteindre
blow up,exploser
blue,bleu
board,planche
boat,bateau
body,corps
boil,ébullition
bomb,bombe
bone,OS
book,livre
boot,démarrage
border,frontière
bore,ennuyer
bored,ennuyé
boring,ennuyeuse
born,née
borrow,emprunter
boss,patron
both,tous les deux
bother,déranger
bottle,bouteille
bottom,bas
bound,lié
bowl,bol
box,boîte
boy,garçon
boyfriend,petit ami
brain,cerveau
branch,branche
brand,marque
brave,courageux
bread,pain
break,Pause
break down,panne
breakfast,petit déjeuner
break in,roder
break into,pénétrer dans
break off,rompre
break out,éclater
break up,rompre
breast,Sein
breath,souffle
breathe,respirer
breathe in,Inspirer
breathe out,expirer
breathing,respiration
breed,race
brick,brique
bridge,pont
brief,bref
briefly,brièvement
bright,brillant
brightly,brillamment
brilliant,brillant
bring,apporter
bring back,ramener
bring down,faire tomber
bring forward,avancer
bring out,mettre en évidence
bring up,faire monter
broad,vaste
broadcast,diffuser
broadly,largement
broken,cassé
brother,frère
brown,marron
brush,brosse
bubble,bulle
budget,budget
build,construire
building,bâtiment
